"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"984",314,"Réserve de parc national de la Baie-aux-Feuilles",NA,1,"II",5,0.0394830484293701,0.973062166003204,0.563818842119391,0.609268874118446,0.189715167250691,0.0322980578589769
"985",302,"Réserve de parc national des Monts-de-Puvirnituq",NA,1,"II",5,0.0187572343966456,0.97516529346116,0.612005677148858,0.606208077005582,0.114276079109735,0
"986",328,"Réserve de territoire pour fins d'aire protégée de la Rivière-George",NA,1,"II",5,0.048918895747063,0.980243828458875,0.49194542243701,0.611295730439337,0.399281185836635,0.0798552953203549
"987",320,"Réserve de territoire pour fins d'aire protégée du Lac-Burton-Rivière-Roggan-et-la-Pointe-Louis-XIV",NA,1,"II",5,0.0610153190725741,0.968810311985157,0.150391333828316,0.612011244453886,0.427719144796174,0.0886671390462598
"996",977,"Rasmussen Lowlands","KBA",NA,NA,5,0.0287246260888072,0.97922343964902,0.445822385753721,0.606208077005582,0.300796908217704,0
"999",935,"Red Desert","KBA",NA,NA,5,0.239938178287002,0.514799326960159,0.664116046087025,0.17166837505929,0.392156896714341,0.0187180811937859
"1000",957,"Red Hills Region","KBA",NA,NA,5,0.254200358731356,0.294024017868437,0.769005152386936,0.632406659925931,0.356005584525843,0.0361080584954897
"1017",650,"Reserva de la Biósfera Sierra Gorda","KBA",NA,NA,5,1,0.969601210132917,0.71746003696638,0.131254502917606,0.177298075927495,0.163587750099974
"1032",147,"Richardson Wildland Provincial Park",NA,1,"Ib",5,0.111691828063414,0.857166644664866,0.481434160353336,0.641885223119368,0.128161117193975,0.196019364939244
"1033",469,"Riding Mountain National Park Of Canada",NA,1,"II",5,0.180458782910486,0.419763046556902,0.76569067921138,0.986299800495258,0.122343844122663,0.20184562007053
"1049",936,"Saginaw Bay","KBA",NA,NA,5,0.231152143445457,0.271390819395379,0.606650540653821,0.575978844914836,0.182246248611525,0.349616516330432
"1061",139,"Sand Lakes Provincial Park",NA,1,"Ib",5,0.0858150302518251,0.965576441983373,0.350684724985528,0.61309914779023,0.413513398749885,0.118717472691968
"1062",918,"Sand Ridge - Tulare Lake Bed (incl. Pixley and Ke*","KBA",NA,NA,5,0.47684103593409,0.0834173532396286,0.875871926377344,0.805224898783029,0.0100502021934947,0.036496931415652
"1069",970,"Saskatchewan River Delta","KBA",NA,NA,5,0.136385368109333,0.794780577702195,0.462354341730309,0.644234958797935,0.373298720847927,0.178238182419741
"1075",109,"Selway-Bitterroot",NA,1,"Ib",5,0.21685187141592,0.773981369676837,0.657749446634037,0.565150272089691,0.290669922652152,0.50819751219104
"1077",81,"Sequoia-Kings Canyon",NA,1,"Ib",5,0.69086306674007,0.737858558438183,0.910090190814487,0.607569617169367,0.127643591855161,0.191279222528789
"1086",927,"Sheldon NWR","KBA",NA,NA,5,0.26396244661958,0.527571631756021,0.8338874276169,0.264609172073073,0.0478536060844447,0.0227668660214967
"1094",1314,"Sierra de Arteaga","KBA",NA,NA,5,0.717161308072375,0.191028905314023,0.786859403090934,0.215374076817807,0.169544348368644,0.117617378140481
"1100",1318,"Sierra de San Pedro Mártir","KBA",NA,NA,5,0.538545094937899,0.665317372976014,0.737775414290865,0.336289511575354,0.154695862264026,0.0362923776520295
"1102",1319,"Sierra Gorda de Guanajuato","KBA",NA,NA,5,0.624008773199122,0.5720882108745,0.689116791604439,0.338933571459064,0.0490416252167557,0.118724372066598
"1112",470,"Sirmilik National Park Of Canada",NA,1,"II",5,0.0185466065672855,0.979111786516023,0.630268045448395,0.606208077005582,0.698663884626244,0
"1121",937,"South Hills","KBA",NA,NA,5,0.223988117203768,0.609058549692731,0.650263019889347,0.359355606069761,0.0654569622284011,0.0486504501613452
"1129",941,"Southern Blue Ridge","KBA",NA,NA,5,0.456525917216115,0.289157497515198,0.738699969133262,0.292127518942874,0.168414039298457,0.511325623011364
"1135",151,"Spatsizi Plateau Wilderness Park",NA,1,"Ib",5,0.116850138626272,0.965534672318344,0.71683308617607,0.670284103270327,0.361625289181969,0.310843783961416
"1139",112,"Stephen Mather",NA,1,"Ib",5,0.286717610415807,0.735154877877292,0.798355212711414,0.625870784290098,0.0724555957647802,0.827736324374785
"1140",153,"Stikine River Park",NA,1,"Ib",5,0.117724383981873,0.960202731018424,0.725492973162538,0.640125892915714,0.072357027127946,0.273309544493896
"1141",439,"Strathcona Park",NA,1,"II",5,0.252770426119825,0.674167160799956,0.790739737917394,0.574413301170212,0.0621033036022252,0.909770439700431
"1164",130,"Tatshenshini-Alsek Park",NA,1,"Ib",5,0.263560476634411,0.967932604166935,0.708954275919592,0.606927913920407,0.451004402926813,0.181046341634163
"1173",938,"Teshekpuk Lake-E. Dease Inlet","KBA",NA,NA,5,0.0570838714950656,0.95453762706817,0.459466685044186,0.606208077005582,0.437625276667659,0
"1174",104,"Teton",NA,1,"Ib",5,0.204564222958748,0.785762545816784,0.586757093765973,0.520505140337978,0.0476938782622341,0.194198277714818
"1179",160,"Thelon Wildlife Sanctuary",NA,1,"Ib",5,0.0396142118182194,0.982145171632883,0.309841835160332,0.606208077005582,0.68650013387543,0.0186146956682229
"1192",458,"Tombstone",NA,1,"II",5,0.0965127306176642,0.960895624976988,0.717375377509951,0.606208077005582,0.00554398202778801,0.109761043455926
"1194",451,"Torngat Mountains National Park Of Canada",NA,1,"II",5,0.0316597329620629,0.978758445016628,0.580854442407737,0.609865820578179,0.462669242405348,0.0072984122121437
"1197",114,"Tracy Arm-Fords Terror",NA,1,"Ib",5,0.129923045505498,0.955359963735147,0.586453287123957,0.613041434210072,0.0770721805561329,0.354321989125821
"1198",106,"Trinity Alps",NA,1,"Ib",5,0.455776769267894,0.633476488573829,0.844896135404814,0.490156428030279,0.0247621350189734,0.602815003054196
"1199",155,"Ts'ilOs Park (a.k.a. Ts'yl-os Park)",NA,1,"Ib",5,0.180393813974775,0.9186632779612,0.429830898921283,0.608704812678647,0.0460346464202633,0.382454121458327
"1206",454,"Tuktut Nogait National Park Of Canada",NA,1,"II",5,0.0549584193324818,0.982268866237074,0.55803631031042,0.606208077005582,0.651926766669906,0
"1210",449,"Tweedsmuir Park",NA,1,"II",5,0.149589736710546,0.895271630069902,0.605719680561873,0.623938357744288,0.463374833937885,0.466723527055385
"1221",113,"Unimak Island",NA,1,"Ib",5,0.0610149248718386,0.956667857400568,0.447954203380662,0.606208640887312,0.181668950720221,0
"1222",934,"Upper / Middle Meramec River Watershed-46","KBA",NA,NA,5,0.292015382807451,0.115532378046535,0.669239603195207,0.725557911382093,0.194742839107415,0.337685789498952
"1225",931,"Upper Blue Ridge Mountains","KBA",NA,NA,5,0.380742533459513,0.391647509559746,0.664958645603601,0.559643073445548,0.111428078655565,0.392269437742122
"1229",944,"Upper Tanana River Valley","KBA",NA,NA,5,0.10297552443068,0.955284876752234,0.702272335872059,0.60621773557382,0.730501204831365,0.149740401344917
"1258",455,"Vuntut National Park Of Canada",NA,1,"II",5,0.0779592109764579,0.978185806920368,0.560590193123488,0.606208077005582,0.230096762614851,0.0447081852204813
"1261",134,"Wabakimi Provincial Park",NA,1,"Ib",5,0.152873155008746,0.892071257077288,0.575224170784163,0.618025662423275,0.433599312259322,0.228578005621518
"1270",456,"Wapusk National Park Of Canada",NA,1,"II",5,0.0916530671222443,0.970443608873456,0.487376892108041,0.606999903271935,0.507219582350424,0.0743962714252526
"1272",107,"Washakie",NA,1,"Ib",5,0.1974093764159,0.740025905329708,0.661647365167679,0.423170938303516,0.0974813850852602,0.129724363785665
"1278",149,"Wells Gray Park",NA,1,"Ib",5,0.204360418554804,0.851542995824293,0.542556744597516,0.630391816366658,0.287918563992703,0.741245328947413
"1280",108,"Weminuche",NA,1,"Ib",5,0.270094125369143,0.685740805622291,0.631980102978636,0.600556373446215,0.00271026550126925,0.187490304962295
"1282",950,"West Kisatchie","KBA",NA,NA,5,0.280808825865997,0.439839851303306,0.905167023304374,0.591874787025561,0.230131171677632,0.232191460690556
"1294",144,"Willmore Wilderness Park",NA,1,"Ib",5,0.173374775208724,0.89416669768391,0.469516732127289,0.634484391626836,0.241143802293928,0.479157290370802
"1298",471,"Wood Buffalo National Park Of Canada",NA,1,"II",5,0.129744203746447,0.91878634664823,0.522783512075869,0.646958442004891,0.841938378016712,0.224513867931769
"1299",133,"Woodland Caribou Provincial Park (Wilderness Class)",NA,1,"Ib",5,0.146134228922246,0.885931075142872,0.605765099797401,0.618752506339283,0.247758057349062,0.251243242668708
"1300",254,"Wrangell-St. Elias",NA,1,"II",5,0.120638751117596,0.963120870335997,0.727138280634341,0.606305220986704,0.874694650104564,0.136281481669628
"1325",255,"Yellowstone",NA,1,"II",5,0.219470092822633,0.765204010790599,0.653023226226007,0.561924658396844,0.433233018189482,0.234412088477802
"1329",82,"Yosemite",NA,1,"Ib",5,0.540650125365399,0.624100725063706,0.873837922202635,0.482372689601135,0.10223665161912,0.262301277620482
