"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"757",787,"Munzur Mountains","KBA",NA,NA,8,0.0172026610800903,0.274165202414188,0.225225225867421,0.149999962783334,0.180555569145062,0.100943396226415,0.0600721715134791,0.0147291356823826,0.026520332616861,0.0529589854096582,0.0960413199801777,0.02884455149593,0.0744121680167075,0.435763757461006,0.566142519640419,0.17623434579882,0.518417506332705,0.366192079204808,0.119098574984053,0.119077974397676,0.00649736850137797,0.646483265010518,0.233918874968404,0.316649662052568,0.000761961769064505,0.370967945881044,0.786209623268959,0.138562888397606,0.630952931518742,0.62694638737178,0.523947481770925,0.0887050472062117,0.691402238025511
"761",1096,"Murukta depression","KBA",NA,NA,8,0.00975968740579009,0.137082601207094,0.11261260105308,0.0166666861611105,0,0.025377358490566,0.00159201867968584,0,NA,0.00628419283323401,0.00742153822137992,0.00152323175516096,NA,0.449845433011425,0.403733472763264,0.183032696181973,1,0.0311862838927987,0.0640136454036755,0.0626486608928523,0.00403727953919173,0.961432621947292,0.349529287636531,0.318430880795537,0,0.476170790253297,0.741473292689523,0.0158873887781986,0.976724372365838,0.534392858477735,0.4818072246688,0.0473843433403012,0.648353716815106
"764",206,"Myangan-Ugalzat","IUCN",1,"II",8,0.00926515916760556,0.256590508170478,0.27027028054541,0,0.131944422118827,0.0783018867924528,0.067395457440034,NA,0.00502616209644152,0.0418062958274871,0.0559958186975238,NA,0.0105518825652047,0.215487205586425,0.333595793617964,0.353074517698222,0.285871683937848,0.184814233377531,0.0239481095594702,0.0239226021186082,3.49088533402232e-07,0.138964895005552,0.469629906322178,0.365419733765222,0,0.476170349632544,0.595081424141538,0.114005027965475,0.267381986568938,0.745651022403455,0.585132839501152,0.0173553631782789,0.644404591841547
"771",1153,"Nam Co","KBA",NA,NA,8,0.0187322111990846,0.138840068894734,0.0945946029431459,0.0166666861611105,0.0486110771373455,0.306603773584906,0.0900021226915729,0.0119097126773006,0.136705095638203,0.0527782380754047,0.0634465709200862,0.00817413998876786,0.0495584241643438,0.550774420902035,0.505891199217084,0.267503416605276,0.823571591502912,0.156782992415784,0.0397027502730456,0.0396747449232341,4.78190440466244e-06,0.168070770928167,0.336409463696234,0.841701641089646,0,0.47615423720339,0.774833156341833,0.102790977272767,0.390561280295437,0.303912977497888,0.458273078045234,0.028779563831225,0.697871941219041
"777",1136,"Nanweng He Nature Reserve","KBA",NA,NA,8,0.00806887153660361,0.33391915589588,0.22972971945459,0.116666696794444,0.0625000262083335,0.0867924528301887,0.0139036298025897,0.00138386679166109,0.00665450834798845,0.0636570576524043,0.0332473576982141,0.00530231326439169,0.00829625905339865,0.22370042180439,0.2848056241074,0.178510671211942,0.165745717843686,0.101546105002232,0.294135703137756,0.232469502226922,0.11382387628223,0.826703025242787,0.372475253148208,0.421459902870156,0,0.475212030457526,0.747094373756181,0.0952981734184792,0.829163973215101,0.814760910196428,0.478516497071183,0.232183685172607,0.633905511023934
"779",122,"Naravni Rezervat Ormo_ke Lagune","IUCN",1,"Ib",8,0,0.261862911233397,0.274774774132579,0.266666659577778,0.0833333449814815,0.0139622641509434,0.0194226278921673,0.00479066958946852,0.00575891790963764,0.0392753230251479,0.0588606730544732,0.0320387722638552,0.0135921544200489,0.371668338572991,0.307530422068424,0.142180582165721,0.572292180236855,0.862654294118071,0.759211517829168,0.759161396041096,0.330938583698964,0.699863884302132,0.65635721875239,0.274069989259482,0.0358389252521613,0.484235798191151,0.644908965650523,0.11036578572846,0.070879903074519,0.709237649676496,0.51897562239855,0.670456684186664,0
"789",1207,"Nefhusa","KBA",NA,NA,8,0.0417748989628249,0.124780310026303,0.180180171189433,0.033333372322221,0.381944457063272,0.118867924528302,0.0864996815962641,0.0046262032475054,0.0292342430361059,0.0370252777673173,0.100406960436414,0.00147564365422729,0.186738526412051,0.516337136039817,0.558298706396718,0.278808121380985,0.198926979909963,0.364277019274798,0.0855265188971453,0.0855315160577642,0,0.341311855949091,0.371947349465576,0.322732990311216,0.0153492541096691,0.427674724509555,0.738369964681978,0.138649407115628,0.345400032823119,0.663570560069065,0.507393049412581,0.0620160546614792,0.758792255244766
"791",909,"Nerussa - Desna woodland","KBA",NA,NA,8,0.00786498192536113,0.318101929339809,0.279279267719747,0.183333335105555,0.0486110771373455,0.010377358490566,0.00817236255572065,0.00118415766213444,0.00125111270327189,0.0382397687175786,0.046938288027878,0.0114759196592805,0.00595134853969497,0.361273123296849,0.511650922976092,0.195486232472695,0.606439905966349,0.466240762730097,0.747529801545506,0.747533716832851,0.225178414965964,0.70215406573451,0.160817498972419,0.41553712783487,0.450312076025155,0.465108284586408,0.732890884701706,0.0940720678104116,0.649539740543723,0.594928977191038,0.17783668418952,0.623663295310105,0.631961878587673
"799",550,"Niedere Tauern","KBA",NA,NA,8,0.00788374358796854,0.272407734726548,0.297297289590942,0.249999973416667,0.0833333449814815,0.0433962264150943,0.0362980258968372,0.00683475126815297,0.00575891790963764,0.0393998790966426,0.0775923665522595,0.0264126198883822,0.0114944453315407,0.277796589836468,0.351786729549254,0.14534604094473,0.59154890447817,0.48484792497275,0.0936221839241704,0.0936133056925102,0.0843315506521541,0.938839238174033,0.375624117201893,0.276810724172611,1.26739131928565e-10,0.541990639724243,0.631304060593965,0.120548957359904,0.651656639673356,0.717634297283405,0.513109601412827,0.0984549858649291,0.632142821281049
"806",1134,"Nordenshel'da archipelago","KBA",NA,NA,8,0.0167674321336226,0.0281195003695503,0.0270270328067933,0,0,0.166037735849057,0.00583740182551475,NA,NA,0.00255635267224619,0.00166836475241187,NA,NA,0.444842975513529,0.403135535191512,0.261079642200587,1,0,NA,NA,NA,NA,0.349502782746741,0.294734733321075,0,0.476170790253297,0.741473292689523,0.0127469925315104,0.90879809019733,0.523880229472712,0.4818072246688,NA,0.689455908200218
